1;Albanien;4088
2;Andorra;41722
3;Belgien;47473
4;Bosnien_und_Herzegowina;4058
5;Bulgarien;6834
6;Dï¿½nema;62624
7;Deutschland;44790
8;Estland;17310
9;Finnland;51430
10;Frankreich;44637
11;Griechenland;32093
12;Irland;64465
13;Island;55189
14;Italien;38407
15;Kasachstan;8061
16;Kosovo;2111
17;Kroatien;15444
18;Lettland;15060
19;Liechtenstein;137751
20;Litauen;14102
21;Luxemburg;111501
22;Malta;20341
23;Mazedonien;4639
24;Moldawien;1855
25;Monaco;111212
26;Montenegro;7173
27;Niederlande;52685
28;Norwegen;94535
29;ýsterreich;49579
30;Polen;13780
31;Portugal;23026
32;Rumï¿½ni;9287
33;Russland;11976
34;San_Marino;37415
35;Schweden;52271
36;Schweiz;68433
37;Serbien;5384
38;Slowakei;17489
39;Slowenien;27063
40;Spanien;34541
41;Tschechien;20672
42;Tï¿½rk;10061
43;Ukraine;3908
44;Ungarn;15597
45;Vereinigtes_Kï¿½nigrei;43756
46;Weiï¿½russla;6354
